pkid,fkcallingsearchspace,fkroutepartition,sortorder
bb320f3b-cc33-0f15-a035-6f543fb5781d,3f64d228-1169-7809-f5bb-b4588aa9353b,97efb347-833a-4545-87f2-2d1120f31fc2,7
94288b71-baac-5495-87fc-1242a53152d6,3f64d228-1169-7809-f5bb-b4588aa9353b,bc73a4a8-b1c6-42fe-a7a4-d9165a62310b,8
76490d10-40be-adf0-7f19-3f11fca84a09,3f545479-c8cf-64f6-d692-0d5d65f600ea,d60c17e6-2c63-453b-864f-7ab42bcc31ae,0
14f68719-2870-2778-6c26-d15069070a62,3f4088c9-2ab4-6bbf-5bc7-c130963d89e0,b81d432e-9bac-4193-8eca-6b648a25f119,0
3d7ae523-75ba-2a2b-598f-b09d00bf10ff,d7b9a2ab-ca8e-481d-a4e5-984736681c8c,b81d432e-9bac-4193-8eca-6b648a25f119,0
e6047caf-5c3c-30ca-d8fa-008c981f6a94,d7d1f66b-5a0b-4ca4-89a7-d694bef9088a,bc73a4a8-b1c6-42fe-a7a4-d9165a62310b,7
5bd203ee-02f5-3b3b-c9af-463c52e7fb85,d7d1f66b-5a0b-4ca4-89a7-d694bef9088a,97efb347-833a-4545-87f2-2d1120f31fc2,6
86b90be9-6e88-049e-ba6b-2bf04ec6f8da,d7d1f66b-5a0b-4ca4-89a7-d694bef9088a,1b03ba92-cf96-469d-8fce-f65eb9600c6a,5
d1522d21-89a2-c8b9-27d5-f13c726c9518,d7d1f66b-5a0b-4ca4-89a7-d694bef9088a,0533d41b-5f91-492f-84ee-66f76cff6806,4
db526320-07b6-0870-cf15-9dc6690c7e00,d7d1f66b-5a0b-4ca4-89a7-d694bef9088a,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3
d1d95914-7d3c-401e-fbb5-ac8ab7db7e42,d7d1f66b-5a0b-4ca4-89a7-d694bef9088a,aafd868b-3b09-48c5-b5c4-f2e53b837db5,2
a5780cb5-0a37-5ed2-5ea0-a12457c72fb3,d7d1f66b-5a0b-4ca4-89a7-d694bef9088a,61e3240a-1b94-49c5-b831-a1d6dd8ca2c5,1
302c8b21-a75a-1a55-0a0b-7b922e05b0c1,d7d1f66b-5a0b-4ca4-89a7-d694bef9088a,b81d432e-9bac-4193-8eca-6b648a25f119,0
e8ee2d33-289d-0635-178d-a158d75b97eb,d7e54876-1a13-9776-309d-99045de2d9a0,4ebf775d-4fb6-4c38-a573-84919e45dda6,0
49ce0af7-70d0-adbb-9151-c6fbcd38e5c7,d7f8b412-9e3a-713a-52e3-1deecebee8f6,d60c17e6-2c63-453b-864f-7ab42bcc31ae,0
5744a655-aadb-c6ea-7046-937ab6c0f91e,d803043f-72b2-d197-784f-630310a21e9c,2a84620d-a0d7-4fb1-8680-ec504f49c566,2
aaa08970-13d6-4538-1ff4-339d7c20c08c,d803043f-72b2-d197-784f-630310a21e9c,c9bb2b31-5ed8-44e9-8119-402d79549068,1
39c4c354-aa8e-3d37-c1c0-060e34b2d741,d803043f-72b2-d197-784f-630310a21e9c,2ac64044-5a52-4e94-9ce5-bacf98376e7a,0
c10174e3-f290-b148-4b5e-d03929f0e1d1,d82367bd-492d-31a8-75c5-280b91c00f54,2a84620d-a0d7-4fb1-8680-ec504f49c566,2
0ce9cb97-edd6-3d4c-b9cf-7e41e6a9f175,d82367bd-492d-31a8-75c5-280b91c00f54,40946101-0c10-4e09-9480-3986be57c81d,1
086ceead-a918-a3b8-eb11-5e62acb915b6,d82367bd-492d-31a8-75c5-280b91c00f54,2ac64044-5a52-4e94-9ce5-bacf98376e7a,0
d4872e75-7a70-3ca2-6544-d7c678e65709,9624b61f-51d1-717a-89a7-c7c707c39500,64921147-5693-4d0c-8885-5fe5b809f5e5,0
d8be58a2-791f-d519-6f32-6a57c02edee3,9616fc3d-0676-d467-3457-e8bf99f827aa,61e3240a-1b94-49c5-b831-a1d6dd8ca2c5,0
ac4cee2d-4229-492f-7a09-9206afab7d6d,9616fc3d-0676-d467-3457-e8bf99f827aa,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,1
645e21f0-606f-3596-2d6c-c0de2537d88c,9616fc3d-0676-d467-3457-e8bf99f827aa,6d425544-4979-47ae-9339-b20a4f6ec7c9,2
5ab04f41-c833-962d-7ab1-c01673627b51,9616fc3d-0676-d467-3457-e8bf99f827aa,b2f7003a-2e06-4d20-aacd-0dbace46f4d3,3
76f4b995-2781-1b15-1b71-79c028384022,9616fc3d-0676-d467-3457-e8bf99f827aa,0533d41b-5f91-492f-84ee-66f76cff6806,4
87f7856a-b85f-6c4b-f3f4-03d9f7080df9,9616fc3d-0676-d467-3457-e8bf99f827aa,1b03ba92-cf96-469d-8fce-f65eb9600c6a,5
c4923b68-d582-582c-1040-e8b764247572,9616fc3d-0676-d467-3457-e8bf99f827aa,97efb347-833a-4545-87f2-2d1120f31fc2,6
5a55a059-36bf-9890-7d9c-612893990f0d,9616fc3d-0676-d467-3457-e8bf99f827aa,bc73a4a8-b1c6-42fe-a7a4-d9165a62310b,7
f0a63a3d-90f8-5930-8019-402a04d465d0,423dcfc8-b248-c808-089b-f8ae79f9f9d9,12c75ed4-9280-4831-9500-3c115c18e4e5,0
b20dc1b8-43c3-6b88-1616-5ae354692cd4,423dcfc8-b248-c808-089b-f8ae79f9f9d9,86568ab6-c60b-4130-a2a8-6945a15d1933,1
c6cce7bb-4826-6905-ce91-3c9b7f693325,423dcfc8-b248-c808-089b-f8ae79f9f9d9,71971e0c-69c6-4d88-b0ac-97238085f098,2
bc8da301-4f42-bfd1-187a-e49641445a38,4232ad8d-0776-6780-d4cd-71e801eba8d8,b81d432e-9bac-4193-8eca-6b648a25f119,0
97108b92-19f2-e26e-77d9-758d0a36fd08,4232ad8d-0776-6780-d4cd-71e801eba8d8,61e3240a-1b94-49c5-b831-a1d6dd8ca2c5,1
1be566a3-8e0e-5d11-1847-aaeb95859cce,4232ad8d-0776-6780-d4cd-71e801eba8d8,c4564fbb-5646-4342-8971-94a3b36c3266,2
de7cbb2e-d636-18db-502d-85bd84c6d768,4232ad8d-0776-6780-d4cd-71e801eba8d8,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3
42413ce1-04f9-141e-a08f-8a92ac2ec834,4232ad8d-0776-6780-d4cd-71e801eba8d8,50f245a9-e6dd-4d14-a166-f41445e0a236,4
0a4571f6-48ad-d9de-8dc7-ee736870e205,4232ad8d-0776-6780-d4cd-71e801eba8d8,0533d41b-5f91-492f-84ee-66f76cff6806,5
4e31d73d-7e79-3330-bd2b-b775cc624dde,9616fc3d-0676-d467-3457-e8bf99f827aa,c2ebb245-6a5f-46fe-86ba-c174274f3a0e,8
18c48665-bb38-3048-3af6-e6ad0cd17498,96151b0c-d8d1-1a0c-4932-26e780243a58,7f96b968-2a84-4ef8-8423-688f8de55694,0
dea4503f-b04f-4778-e571-94fb6fb15d6e,95a2293c-48d0-b9b5-e6a9-35d19ce28cf3,ea84caf6-86e0-421f-9d71-1a3609386bf8,0
0f8def67-23d3-d44b-bd07-56d388a6cc88,956a6f92-ea42-3821-ab80-8cb40154a679,cd3f9e69-9362-4fa9-84f5-9cd54a8c40d7,0
866e0e51-38f1-8621-24e0-95f88f2e84e8,956a6f92-ea42-3821-ab80-8cb40154a679,61e3240a-1b94-49c5-b831-a1d6dd8ca2c5,1
ce64e830-f723-f116-e790-6e828106402b,956a6f92-ea42-3821-ab80-8cb40154a679,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,2
e889d674-c1e3-70e6-4639-cd0424f46363,956a6f92-ea42-3821-ab80-8cb40154a679,50f245a9-e6dd-4d14-a166-f41445e0a236,3
a3357524-a7fc-9cb4-3b88-faff5877583d,956a6f92-ea42-3821-ab80-8cb40154a679,0533d41b-5f91-492f-84ee-66f76cff6806,4
c898b377-bff8-1b63-470b-bd5d4bf45f93,956a6f92-ea42-3821-ab80-8cb40154a679,1b03ba92-cf96-469d-8fce-f65eb9600c6a,5
fdeb4988-5f6c-8425-9f34-38d00ba0c640,956a6f92-ea42-3821-ab80-8cb40154a679,97efb347-833a-4545-87f2-2d1120f31fc2,6
d74607f9-d57e-f59b-f41c-b5145f215931,956a6f92-ea42-3821-ab80-8cb40154a679,bc73a4a8-b1c6-42fe-a7a4-d9165a62310b,7
f66c5d1f-a41c-7bde-9dbd-ae89380da816,9555d6a3-4f28-f597-9f2c-1356f613737c,d0922241-08dc-47d2-a10e-9d7bd7d8ed96,0
02483e6f-a93d-64e6-138c-fc890bb0b5f8,95402b5f-60a7-e39b-264b-16d67c44311a,2ac64044-5a52-4e94-9ce5-bacf98376e7a,0
677a83cd-5490-35ba-cb3f-28c15141fcb7,95402b5f-60a7-e39b-264b-16d67c44311a,0c8df425-ea22-42de-9ff5-1802160f93aa,1
ea3d4391-9830-c93b-34b0-57293a9a41a6,95402b5f-60a7-e39b-264b-16d67c44311a,2a84620d-a0d7-4fb1-8680-ec504f49c566,2
d9c276af-3f25-c32d-bdd1-7fd7ff83b863,952dac29-fb22-d82f-3542-d5d70213dcb2,4e561db8-a2aa-4ab1-b7ab-be4ff5fdaf68,0
c5020077-9089-97fd-5d1c-582eb04cde8f,9513d7eb-1184-1c5f-157f-350a2a6463ad,219038a2-84f1-445a-976c-d84c560a45e3,0
b7b9b954-c3c7-a5b3-9502-ab55a852db87,4232ad8d-0776-6780-d4cd-71e801eba8d8,1b03ba92-cf96-469d-8fce-f65eb9600c6a,6
7b77f0b1-bb81-e96a-2697-f2197fdf9cbb,4232ad8d-0776-6780-d4cd-71e801eba8d8,97efb347-833a-4545-87f2-2d1120f31fc2,7
ae3f29da-bbae-9d2f-ba78-9dff1545764d,9513d7eb-1184-1c5f-157f-350a2a6463ad,2a84620d-a0d7-4fb1-8680-ec504f49c566,1
37543040-02b5-ae84-6f4e-551c0ff76f5d,95026035-ba9c-21b4-f188-5b17a4ded353,b81d432e-9bac-4193-8eca-6b648a25f119,0
b3e9c104-331f-8450-052f-55dd5083d1d8,95026035-ba9c-21b4-f188-5b17a4ded353,61e3240a-1b94-49c5-b831-a1d6dd8ca2c5,1
aa142794-32cb-e7da-9a44-c1f43954e112,95026035-ba9c-21b4-f188-5b17a4ded353,ed4e93d4-44e3-4308-8b0e-0749e0f0d145,2
0ed3c726-a0a3-a6c8-9dce-0f2e33303732,95026035-ba9c-21b4-f188-5b17a4ded353,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3
cfbcec25-268a-fcfb-e90b-1cc8bc5202af,95026035-ba9c-21b4-f188-5b17a4ded353,0533d41b-5f91-492f-84ee-66f76cff6806,4
f0fe1d31-7618-c8ff-9374-3293cce0297e,95026035-ba9c-21b4-f188-5b17a4ded353,50f245a9-e6dd-4d14-a166-f41445e0a236,5
952501d1-bc58-feae-30b9-b47199edfdfe,95026035-ba9c-21b4-f188-5b17a4ded353,1b03ba92-cf96-469d-8fce-f65eb9600c6a,6
c6e8edb5-8af6-e3ad-97ed-3dcd7a3cc38a,95026035-ba9c-21b4-f188-5b17a4ded353,97efb347-833a-4545-87f2-2d1120f31fc2,7
230f778e-622e-bf3c-83f1-1f80377fa59e,d77045d3-bd82-055e-2e54-860c2dc39a20,1d9f69d9-c866-4223-bf9e-993a9a6b4268,0
46c84c90-98b5-11cf-2c4e-1f5fe6aa15fa,d74bf025-3a5c-9447-e450-ec2aa7840c0d,8f42a59d-57ee-452a-a1b3-111fff1d6ee1,0
00792946-8e40-70b8-e896-1edb92818fa3,d7441b61-99c0-73b6-527b-f1c66597d132,2ac64044-5a52-4e94-9ce5-bacf98376e7a,0
29e96f59-b212-3f03-75b0-4e6bb640c900,d7441b61-99c0-73b6-527b-f1c66597d132,728f183d-2725-495e-a98e-30972ff7c43e,1
9eb0c9c0-6a2d-2c8c-586f-72b7c24b8c86,d7441b61-99c0-73b6-527b-f1c66597d132,2a84620d-a0d7-4fb1-8680-ec504f49c566,2
396aff88-f22a-916a-290e-93b6b54fb63e,d74316de-3321-86d7-8342-009e1182399b,2ac64044-5a52-4e94-9ce5-bacf98376e7a,0
dd51392d-bdd2-0ba6-fb08-5811c423fc36,d74316de-3321-86d7-8342-009e1182399b,584e295f-8f25-4c11-aeb9-c2d42fa16bb7,1
088041aa-09cb-1aa6-e9fb-db46e4bea7f8,d72e05a4-f49e-be5d-0e46-60da43057e78,d60c17e6-2c63-453b-864f-7ab42bcc31ae,0
2561a7f6-8a90-ef8b-0134-7b1b07717863,d7265b18-c9a6-b03f-cd04-65a632376ef1,2ac64044-5a52-4e94-9ce5-bacf98376e7a,0
8986853a-11fe-795f-5765-69576f633cc5,95026035-ba9c-21b4-f188-5b17a4ded353,bc73a4a8-b1c6-42fe-a7a4-d9165a62310b,8
07b982eb-c791-608a-ddaa-3d75fa3b9748,94d0591e-cf6a-41ea-37ca-677b57cb1022,905cd50c-4688-4477-a62f-ace24ed7255f,0
b78d58b6-fd14-7c73-4652-d7ee6556f44d,94b5cacd-386f-7e38-1e4d-c52f7a99bea4,2ac64044-5a52-4e94-9ce5-bacf98376e7a,0
6a35a958-c9b3-d64e-b098-2a1a6241ce73,94b5cacd-386f-7e38-1e4d-c52f7a99bea4,e10fb9fb-c4fb-420e-8c5e-befd1e17f910,1
09c86de6-d1ce-75c9-c56c-183e7cf18a31,94b5cacd-386f-7e38-1e4d-c52f7a99bea4,2a84620d-a0d7-4fb1-8680-ec504f49c566,2
dc69f315-7abf-8151-6966-1b15215f77ff,94b5bda8-3ca6-7c5c-ed99-e0c168e8c994,d7ad8b1b-1910-4c70-8698-9511433cfac5,0
ac95cfc2-8b90-147f-7195-2c9dd4b557ba,94b5bda8-3ca6-7c5c-ed99-e0c168e8c994,74ffa547-3414-4292-9b8e-e092f6f4539d,1
023d327a-10e5-4e38-8cf8-f241a0da22a6,9475e834-17b4-d315-ac44-c66cd973bd82,023ee719-261c-48dc-867c-b929f1586c4f,0
8e691a1b-3da4-a041-5d38-7b7cd898fde7,94756ee0-3807-5588-8d82-59764f0a80da,b81d432e-9bac-4193-8eca-6b648a25f119,0
6870a179-d1c0-284b-fdf0-43d98bec05bf,4232ad8d-0776-6780-d4cd-71e801eba8d8,bc73a4a8-b1c6-42fe-a7a4-d9165a62310b,8
b7b969f6-ad14-0b15-3725-87a0e5047983,420da328-17ef-9cf8-b9bb-a2f3ee12c87d,90b90850-076f-4d20-9b26-75cbc89d76be,0
efe9372c-6ecc-bc89-29fc-4fd3458a8f93,4200f712-5b24-d84a-ebe7-1bb07e293e02,b81d432e-9bac-4193-8eca-6b648a25f119,0
c6807aa5-210c-8d6d-8b78-663d9c10e9c5,4200f712-5b24-d84a-ebe7-1bb07e293e02,61e3240a-1b94-49c5-b831-a1d6dd8ca2c5,1
f17b7cab-9ad8-6a84-88a6-4420af05cec2,4200f712-5b24-d84a-ebe7-1bb07e293e02,4859524c-7a0e-4c9e-9c3c-29adb5ff6d40,2
51fffc56-b745-9f29-6039-04a24cfd24c2,4200f712-5b24-d84a-ebe7-1bb07e293e02,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,3
c53a5291-f954-9229-8fbe-77dd9967e6fc,4200f712-5b24-d84a-ebe7-1bb07e293e02,50f245a9-e6dd-4d14-a166-f41445e0a236,4
01f6d4e1-e330-255e-6166-511f098b0a61,4200f712-5b24-d84a-ebe7-1bb07e293e02,0533d41b-5f91-492f-84ee-66f76cff6806,5
a9f326f9-05cd-ee85-2b94-5b9e0d967544,4200f712-5b24-d84a-ebe7-1bb07e293e02,1b03ba92-cf96-469d-8fce-f65eb9600c6a,6
06638da3-1fd7-0d4f-6616-fff94b3067cb,d8408436-16d5-e136-1dc0-01f99b700040,2a84620d-a0d7-4fb1-8680-ec504f49c566,2
9beb16e0-372d-52ab-9d34-5eff96067504,d8408436-16d5-e136-1dc0-01f99b700040,57ce981e-4363-4246-aa9d-ecedb7ddc900,1
f46ed4c3-3cd2-737d-84b6-004412177eea,d8408436-16d5-e136-1dc0-01f99b700040,2ac64044-5a52-4e94-9ce5-bacf98376e7a,0
a9782625-689e-d55e-e1dd-620f39acf7f7,d856f2b5-055a-306e-0dc5-c7ad393b2627,2a84620d-a0d7-4fb1-8680-ec504f49c566,2
44d2aa61-10c0-e603-0bca-a3c34941d7fe,d856f2b5-055a-306e-0dc5-c7ad393b2627,b5c51616-3326-4087-bfc1-cee1aec46d7b,1
19048a63-558d-20c2-8a94-9f2ce3c9e4e4,d856f2b5-055a-306e-0dc5-c7ad393b2627,2ac64044-5a52-4e94-9ce5-bacf98376e7a,0
e36a6237-7d17-2b12-4571-db7371ba4c18,d860ebe1-d190-eee0-537e-1a5af3a1477b,2a84620d-a0d7-4fb1-8680-ec504f49c566,2
4d2ef475-c2c9-c903-f961-851c28ff0b9f,d860ebe1-d190-eee0-537e-1a5af3a1477b,a874cb80-174e-4aec-b712-382620b4678c,1
05025cf7-b8d4-d53b-ff1f-90a2e9664405,d860ebe1-d190-eee0-537e-1a5af3a1477b,2ac64044-5a52-4e94-9ce5-bacf98376e7a,0
57224274-3329-9d30-66e4-a969ff76459d,4200f712-5b24-d84a-ebe7-1bb07e293e02,97efb347-833a-4545-87f2-2d1120f31fc2,7
66ac296e-411c-8cf7-487d-54c5890a574f,4200f712-5b24-d84a-ebe7-1bb07e293e02,bc73a4a8-b1c6-42fe-a7a4-d9165a62310b,8
5b910b60-bdd7-bff5-9f0b-ff27b9533279,4200f712-5b24-d84a-ebe7-1bb07e293e02,c2ebb245-6a5f-46fe-86ba-c174274f3a0e,9
172aa184-07b1-d792-2c85-5dd022ad341e,41fb9bc7-b770-710c-913a-b9d26d4c41e7,2283fad5-4d9c-43de-a3b2-9730b9110edf,0
ecaee9c0-b835-e9ef-497c-a6f220d3a5dd,41fb9bc7-b770-710c-913a-b9d26d4c41e7,36146fcc-226f-4dea-bb92-16b138bba234,1
7967dfda-0a26-9be8-dc3d-4af65ad2e3d8,41fb9bc7-b770-710c-913a-b9d26d4c41e7,0ca31a98-b64f-4dda-b2c4-d76dc7c93076,2
d1229e7f-2d77-05b4-a560-74d7735177da,41fb9bc7-b770-710c-913a-b9d26d4c41e7,9a6b50d9-470a-48a1-ae7e-d2e696129227,3
95506900-4095-8102-f0d4-98add119ffac,41c0a619-c1ea-da91-f90f-f627b2e9d558,727a6db4-4d17-4f16-925e-507c07c1940d,0
240dc1e3-6ab2-8b5c-3f70-1e1c84f53e4f,41b349a5-441f-f3a5-4dd4-9771ed57b770,b81d432e-9bac-4193-8eca-6b648a25f119,0
b7aa3c80-270d-f481-5979-9ea1dc8037fb,41b349a5-441f-f3a5-4dd4-9771ed57b770,61e3240a-1b94-49c5-b831-a1d6dd8ca2c5,1
c0ad6bbb-cd63-e694-06c2-f42fa3fd4152,41b349a5-441f-f3a5-4dd4-9771ed57b770,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,2
3e9e59c1-9ea1-b2aa-01f8-3c8d0b2b5d27,d86cef29-2f2e-1890-8c18-51d6c9af8318,23fc243d-36e3-4cac-a05c-c73749f1977b,0
76f0d5de-44a5-a5dd-4d80-48189d99c09b,d8b14ef2-3956-538f-7ada-24f86f2d261a,2a84620d-a0d7-4fb1-8680-ec504f49c566,2
827ca935-b0c0-baef-0efd-8ac29db83ff7,d8b14ef2-3956-538f-7ada-24f86f2d261a,d6822b04-bde9-4fac-8468-9beb8df68388,1
7a316ea3-132f-ae6e-555c-1213777727f0,d8b14ef2-3956-538f-7ada-24f86f2d261a,2ac64044-5a52-4e94-9ce5-bacf98376e7a,0
8a7c5064-c789-f7a8-3b86-b0896bf3f3a4,d8b1ee48-73f3-7fd5-8f3c-e0395c12fca8,011ef8f7-229d-41a1-a9c8-b2993671912c,0
1b04909f-7379-da3e-cc95-8e3960c203bd,41b349a5-441f-f3a5-4dd4-9771ed57b770,a05a0262-c875-4578-843f-0e93a05f49d0,3
6902222d-7e55-a4c2-a219-530e0cfb6461,d8d00749-a6fd-48c3-77df-0cf6de3a3716,d22c424a-b3b7-4953-b08a-971b4741f83f,0
a1a8edc0-bed8-0229-4db3-f7828e71997f,d8d6cd20-09c9-ed76-e997-65cf7abfe970,92717b0f-6cf2-4f6a-953f-4b470efe1ebb,0
bf370c54-52f9-19f9-8dc0-28608b7efc10,d8f0d7a6-ee79-cb81-74e2-4a4ef6cc0405,bc73a4a8-b1c6-42fe-a7a4-d9165a62310b,8
81e6e35d-c8f1-b711-a27c-2f6612d52a35,d8f0d7a6-ee79-cb81-74e2-4a4ef6cc0405,97efb347-833a-4545-87f2-2d1120f31fc2,7
07e8b352-65f5-4f26-14ca-30e3d9c8efc1,d8f0d7a6-ee79-cb81-74e2-4a4ef6cc0405,1b03ba92-cf96-469d-8fce-f65eb9600c6a,6
9af6e66a-eccd-9ad7-c513-5b61f79145ee,d8f0d7a6-ee79-cb81-74e2-4a4ef6cc0405,50f245a9-e6dd-4d14-a166-f41445e0a236,5
8dce6115-5973-9dee-5a05-ad47ed36c6ef,d8f0d7a6-ee79-cb81-74e2-4a4ef6cc0405,0533d41b-5f91-492f-84ee-66f76cff6806,4
b09b59c1-61b4-089a-d9bb-b5899cdb6cd8,d8f0d7a6-ee79-cb81-74e2-4a4ef6cc0405,13b346cb-6fc6-40c5-999c-9c2b2b588193,3
f3f833aa-28c9-a479-7f7f-19063f8ecb11,41b349a5-441f-f3a5-4dd4-9771ed57b770,0533d41b-5f91-492f-84ee-66f76cff6806,4
7e6b7e2c-9af5-d52c-3321-8d851d5faa77,41b349a5-441f-f3a5-4dd4-9771ed57b770,50f245a9-e6dd-4d14-a166-f41445e0a236,5
ac7d6320-111d-1f18-917f-b20c043dd038,41b349a5-441f-f3a5-4dd4-9771ed57b770,1b03ba92-cf96-469d-8fce-f65eb9600c6a,6
c2fffd9c-bb26-9cd4-22e4-24bdf7a0fad1,41b349a5-441f-f3a5-4dd4-9771ed57b770,97efb347-833a-4545-87f2-2d1120f31fc2,7
c136eee3-9f73-aac5-1081-1286c74f48c0,41b349a5-441f-f3a5-4dd4-9771ed57b770,bc73a4a8-b1c6-42fe-a7a4-d9165a62310b,8
f65ec44d-2a0e-6ed5-c275-393d66d860dc,41a1ed50-9298-628e-9590-0301a0c65aad,9f68f652-5c1f-48d1-b234-ba0c7fd17fc2,0
ff9bd4a9-0b16-45d1-4331-ba1254d84573,d8f0d7a6-ee79-cb81-74e2-4a4ef6cc0405,53f92de0-7547-4e61-9df5-07ef6bc8d6e7,2
d65d3b7e-f8b8-23b4-9366-1f35b670d2b5,d8f0d7a6-ee79-cb81-74e2-4a4ef6cc0405,61e3240a-1b94-49c5-b831-a1d6dd8ca2c5,1
